,cash,asset_value,total_assets,reward,date
83,97271.34977940706,1122004.1602733904,1219275.5100527974,0.16678433510850266,2019-05-13
84,97271.34977940706,1102423.3290085741,1199694.6787879812,0.13198708206503795,2019-05-14
85,97271.34977940706,1097608.2771064346,1194879.6268858416,0.12343021452503578,2019-05-15
86,97271.34977940706,1116222.5280580109,1213493.8778374179,0.15650974990412936,2019-05-16
87,97271.34977940706,1116695.459494594,1213966.809274001,0.15735020017145607,2019-05-17
88,97271.34977940706,1089992.5232565436,1187263.8730359506,0.10989619698270725,2019-05-20
89,97271.34977940706,1074967.5407182267,1172238.8904976337,0.08319517942688504,2019-05-21
90,97271.34977940706,1087823.9902379096,1185095.3400173166,0.10604247947899204,2019-05-22
91,97271.34977940706,1089619.6428497895,1186890.9926291965,0.1092335482068052,2019-05-23
92,97271.34977940706,1073477.274285563,1170748.62406497,0.08054681493927729,2019-05-24
93,97271.34977940706,1073027.734463675,1170299.084243082,0.07974793409893932,2019-05-27
94,97271.34977940706,1090163.7294297945,1187435.0792092015,0.11020044885294922,2019-05-28
95,97271.34977940706,1104658.4573982598,1201929.8071776668,0.13595914673934384,2019-05-29
96,97271.34977940706,1102074.3338160294,1199345.6835954364,0.13136687989579932,2019-05-30
97,97271.34977940706,1096090.367356922,1193361.717136329,0.12073272487627718,2019-05-31
98,97271.34977940706,1094701.4147292143,1191972.7645086213,0.11826440596794885,2019-06-03
99,102271.34980735506,1097747.1015738137,1200018.4513811688,0.13256246094968882,2019-06-04
100,102271.34980735506,1089946.148736109,1192217.498543464,0.11869932479359013,2019-06-05
101,102271.34980735506,1097038.1929581154,1199309.5427654705,0.13130265373560646,2019-06-06
102,107271.34988908494,1079803.3795923248,1187074.7294814098,0.10956006844761657,2019-06-10
103,112271.35010071825,1091906.770268912,1204178.1203696302,0.13995464223203458,2019-06-11
104,112271.35010071825,1121213.0653835358,1233484.415484254,0.1920350954609229,2019-06-12
105,112271.35010071825,1113765.0525968992,1226036.4026976174,0.17879917191393624,2019-06-13
106,112271.35010071825,1117651.7886847444,1229923.1387854626,0.18570632193901893,2019-06-14
107,112271.35010071825,1108800.865023105,1221072.2151238231,0.16997727416994568,2019-06-17
108,117271.35033094286,1103388.6996251098,1220660.0499560526,0.16924481212864373,2019-06-18
109,117271.35033094286,1107983.9076409852,1225255.257971928,0.1774109933266348,2019-06-19
110,117271.35033094286,1124749.2871564622,1242020.637487405,0.20720488437650209,2019-06-20
111,117271.35033094286,1161972.0909940659,1279243.4413250086,0.27335382905648165,2019-06-21
112,117271.35033094286,1171231.061848622,1288502.4121795648,0.28850241217956474,2019-06-24
113,122271.35034485125,1171709.3846792907,1293980.7350241418,0.2939807350241419,2019-06-25
114,127271.35055150409,1161009.0079855984,1288280.3585371026,0.2838750560988611,2019-06-26
115,6881.349187681011,1273201.6227180525,1280082.9719057335,0.2693426550352901,2019-06-27
116,16881.349156236844,1278912.0681474786,1295793.4173037154,0.29579341730371533,2019-06-28
117,16941.963482950407,1280198.4558073787,1297140.419290329,0.2971404192903291,2019-07-01
118,26941.96350075131,1302781.1114465375,1329723.074947289,0.32972307494728903,2019-07-02
119,27013.926118692594,1290502.2930097624,1317516.219128455,0.308336220639433,2019-07-03
120,32013.92601662045,1276521.6374556962,1308535.5634723166,0.2926017860759875,2019-07-04
121,37119.62528979931,1260804.0127615253,1297923.6380513248,0.27400930769556653,2019-07-05
122,37119.62528979931,1270554.6440945426,1307674.269384342,0.2910927675826822,2019-07-08
123,37119.62528979931,1237789.0753599345,1274908.700649734,0.23368630229455167,2019-07-09
124,37119.62528979931,1234626.834316861,1271746.4596066603,0.2281459412484098,2019-07-10
125,37119.62528979931,1231999.559395336,1269119.1846851355,0.22354286025791914,2019-07-11
126,41988.20095093212,1229000.1506139778,1270988.35156491,0.2268177084520896,2019-07-12
127,46988.20106541233,1236142.8250723402,1283131.0261377525,0.2480921148882177,2019-07-15
128,46988.20106541233,1241134.8272388224,1288123.0283042346,0.2568382838135794,2019-07-16
129,51988.2011301775,1231018.5977864533,1283006.798916631,0.24787446428935533,2019-07-17
130,56988.20136116772,1222029.519836555,1279017.7211977227,0.2408854553862294,2019-07-18
131,62286.82647078686,1213392.2770840875,1275679.1035548744,0.2350360761376381,2019-07-19
132,67286.82670444164,1221297.5307180728,1288584.3574225144,0.25764654916766005,2019-07-22
133,67286.82670444164,1214231.9044189905,1281518.731123432,0.24526731552265524,2019-07-23
134,72286.82665329723,1217743.0501151527,1290029.87676845,0.26017915151092785,2019-07-24
135,72375.30340728283,1230040.2215124832,1302415.524919766,0.28187925647258916,2019-07-25
136,72375.30340728283,1242343.7542996947,1314719.0577069775,0.3034354923368673,2019-07-26
137,72375.30340728283,1248342.9221936723,1320718.225600955,0.31394625216077787,2019-07-29
138,72375.30340728283,1249737.4045672154,1322112.7079744982,0.31638943587658963,2019-07-30
139,72375.30340728283,1246495.9443725666,1318871.2477798495,0.31071028000250245,2019-07-31
140,72375.30340728283,1237958.2552139526,1310333.5586212354,0.2957519388153055,2019-08-01
141,72375.30340728283,1224030.951391045,1296406.2547983278,0.27135079717961874,2019-08-02
142,72375.30340728283,1211860.9574002384,1284236.2608075212,0.25002852613196025,2019-08-05
143,72375.30340728283,1194979.082787727,1267354.3861950098,0.22045086926931345,2019-08-06
144,72375.30340728283,1185502.47025627,1257877.7736635527,0.20384750026502252,2019-08-07
145,72375.30340728283,1182486.9177151562,1254862.221122439,0.19856414279675638,2019-08-08
146,77375.30333814144,1192480.8833145646,1269856.186652706,0.22483411444646406,2019-08-09
147,77375.30333814144,1186498.1625966912,1263873.4659348326,0.21435217067185708,2019-08-12
148,82375.30323342037,1199635.4469148186,1282010.750148239,0.24612935070652364,2019-08-13
149,85229.24712868023,1189328.162146981,1274557.4092756612,0.23307082706092874,2019-08-14
150,85229.24712868023,1191969.1150532295,1277198.3621819098,0.23769787237694706,2019-08-15
151,85229.24712868023,1209230.9921559445,1294460.2392846248,0.26794130739043165,2019-08-16
152,85229.24712868023,1217221.6134409513,1302450.8605696317,0.28194116581327167,2019-08-19
153,85229.24712868023,1236501.180766045,1321730.4278947255,0.31571966730618695,2019-08-20
154,85229.24712868023,1237987.9079409486,1323217.1550696287,0.31832446726099006,2019-08-21
155,85229.24712868023,1248895.3528884032,1334124.6000170833,0.33412460001708344,2019-08-22
156,85229.24712868023,1244662.922979123,1329892.1701078033,0.32671973036025204,2019-08-23
157,85229.24712868023,1248986.7355721104,1334215.9827007907,0.33421598270079067,2019-08-26
158,85229.24712868023,1236188.0824812618,1321417.3296099422,0.3118246899947721,2019-08-27
159,85229.24712868023,1256636.4230255752,1341865.6701542553,0.3418656701542553,2019-08-28
160,85229.24712868023,1252304.829467862,1337534.0765965423,0.3343060384597478,2019-08-29
161,85229.24712868023,1252377.1735137291,1337606.4206424095,0.3344322955369089,2019-08-30
162,85229.24712868023,1251316.5850141805,1336545.8321428606,0.3325813235264482,2019-09-02
163,85229.24712868023,1269928.208103944,1355157.4552326244,0.35515745523262443,2019-09-03
164,85229.24712868023,1272074.9041358624,1357304.1512645427,0.35730415126454274,2019-09-04
165,85229.24712868023,1284542.573594471,1369771.8207231513,0.3697718207231513,2019-09-05
166,85229.24712868023,1298071.9916225455,1383301.2387512256,0.38330123875122557,2019-09-06
167,85229.24712868023,1296572.0876172027,1381801.334745883,0.3807170416336346,2019-09-09
168,85229.24712868023,1308575.5100068678,1393804.7571355482,0.3938047571355481,2019-09-10
169,85229.24712868023,1306843.1414993084,1392072.3886279888,0.3908294824758245,2019-09-11
170,85229.24712868023,1298692.5040568383,1383921.7511855187,0.37683108378792673,2019-09-12
171,90229.246952075,1306046.972313806,1396276.219265881,0.3962762192658811,2019-09-16
172,90229.246952075,1304036.1875202942,1394265.4344723693,0.3928253291652912,2019-09-17
173,90229.246952075,1284473.8667954495,1374703.1137475246,0.3592526568675105,2019-09-18
174,90229.246952075,1288009.16638831,1378238.413340385,0.36531990504194856,2019-09-19
175,90229.246952075,1294557.6084294925,1384786.8553815675,0.3765582801714602,2019-09-20
176,90229.246952075,1296012.9082740266,1386242.1552261016,0.3790558521856797,2019-09-23
177,90229.246952075,1281100.0015934997,1371329.2485455747,0.35346246088845734,2019-09-24
178,90229.246952075,1288190.9647870082,1378420.2117390833,0.3656319057574876,2019-09-25
179,90229.246952075,1272337.8826342444,1362567.1295863194,0.3384249940873101,2019-09-26
180,90229.246952075,1259196.281654705,1349425.52860678,0.31587150110659556,2019-09-27
181,90229.246952075,1258009.913261129,1348239.160213204,0.31383546673919116,2019-09-30
182,90229.246952075,1247044.9722704208,1337274.2192224958,0.2950175373215417,2019-10-08
183,90229.246952075,1250269.7054578268,1340498.952409902,0.30055179432874146,2019-10-09
184,90229.246952075,1260996.795818588,1351226.042770663,0.3189615267145893,2019-10-10
185,90229.246952075,1269820.7320087375,1360049.9789608126,0.334105083670599,2019-10-11
186,90229.246952075,1277558.8226401343,1367788.0695922093,0.34738512261037946,2019-10-14
187,90229.246952075,1290779.4523646382,1381008.6993167133,0.37007424398580824,2019-10-15
188,90229.246952075,1275357.5684365034,1365586.8153885785,0.3436073506853565,2019-10-16
189,90229.246952075,1264718.778762337,1354948.025714412,0.32534915911393536,2019-10-17
190,95229.24681432781,1262564.757733905,1357794.0045482328,0.3302334014335562,2019-10-18
191,100229.24672402172,1236174.391181178,1336403.6379051995,0.2935234537879333,2019-10-21
192,100229.24672402172,1241549.0944325193,1341778.341156541,0.30274746935812746,2019-10-22
193,100229.24672402172,1244962.7957657254,1345192.042489747,0.30860603173394363,2019-10-23
194,100229.24672402172,1239503.9130928887,1339733.1598169103,0.2992375482260322,2019-10-24
195,100229.24672402172,1232148.605182634,1332377.8519066556,0.2866144374206442,2019-10-25
196,100229.24672402172,1245223.228528936,1345452.4752529575,0.30905298401214487,2019-10-28
197,100229.24672402172,1260436.5239917936,1360665.7707158152,0.33516189973476485,2019-10-29
198,100229.24672402172,1242516.8904534793,1342746.1371775009,0.3044083918590821,2019-10-30
199,105229.2468070387,1242154.1965862997,1347383.4433933385,0.3123668935173771,2019-10-31
200,105229.2468070387,1243580.3579187612,1348809.6047258,0.3148144582890603,2019-11-01
201,105229.2468070387,1255164.5159332682,1360393.762740307,0.33469508218522337,2019-11-04
202,105229.2468070387,1267749.426090389,1372978.6728974278,0.3562931875708194,2019-11-05
203,105229.2468070387,1276796.0161163758,1382025.2629234146,0.3718188609623764,2019-11-06
204,105229.2468070387,1268358.4746490146,1373587.7214560534,0.35733843102428164,2019-11-07
205,105229.2468070387,1265570.9143109405,1370800.1611179793,0.3525544459819756,2019-11-08
206,105229.2468070387,1251367.2016365367,1356596.4484435755,0.32817816682078327,2019-11-11
207,105229.2468070387,1232174.0647069232,1337403.311513962,0.29523908430763424,2019-11-12
208,105229.2468070387,1231502.991675662,1336732.238482701,0.2940873950329669,2019-11-13
209,105229.2468070387,1240392.6755492287,1345621.9223562675,0.30934378754978487,2019-11-14
210,105229.2468070387,1245414.094439343,1350643.3412463819,0.3179614997956326,2019-11-15
211,105229.2468070387,1237358.475153386,1342587.7219604247,0.30413652114166123,2019-11-18
212,105229.2468070387,1245315.9378021574,1350545.1846091961,0.31779304429076494,2019-11-19
213,105229.2468070387,1253795.3814519988,1359024.6282590376,0.33234538636345556,2019-11-20
214,105229.2468070387,1246398.9817250392,1351628.228532078,0.31965175416565383,2019-11-21
215,105229.2468070387,1242456.4361905148,1347685.6829975536,0.31288559430602325,2019-11-22
